claim,esperado,pred,confidence
The Transformer architecture uses self-attention mechanisms to process data.,TRUE,TRUE,95
L'intelligence artificielle est une branche de l'informatique qui crée des systèmes intelligents.,TRUE,INSUFFICIENT INFORMATION,96
Los transistores actúan como interruptores o amplificadores en los circuitos electrónicos.,TRUE,INSUFFICIENT INFORMATION,95
Deep learning is based on artificial neural networks with multiple layers.,TRUE,TRUE,95
"Die Kernfusion ist der Prozess, bei dem sich Atomkerne verbinden, um Energie freizusetzen.",TRUE,INSUFFICIENT INFORMATION,92
Il sole è la stella situata al centro del nostro sistema solare.,TRUE,TRUE,95
L'oxygène possède le numéro atomique 8 dans le tableau périodique.,TRUE,INSUFFICIENT INFORMATION,95
"The Holocene is the current geological epoch that began 11,700 years ago.",TRUE,TRUE,95
La mecánica cuántica estudia la materia a escala atómica y subatómica.,TRUE,INSUFFICIENT INFORMATION,95
Operating systems manage both computer hardware and software resources.,TRUE,TRUE,95
Cells are the basic structural units of all living organisms.,TRUE,TRUE,95
La neurociencia es el estudio científico del sistema nervioso.,TRUE,INSUFFICIENT INFORMATION,95
Radiology uses medical imaging like X-rays to diagnose diseases.,TRUE,TRUE,95
The Milky Way is a galaxy containing billions of stars bound by gravity.,TRUE,TRUE,95
El ADN contiene las instrucciones genéticas usadas en el desarrollo de los seres vivos.,TRUE,INSUFFICIENT INFORMATION,95
L'atome est composé d'un noyau contenant des protons et des neutrons.,TRUE,INSUFFICIENT INFORMATION,95
Machine Learning allows computers to improve from experience.,TRUE,TRUE,95
La chirurgie est une branche de la médecine qui traite les maladies par intervention manuelle.,TRUE,INSUFFICIENT INFORMATION,95
Computers process digital data in binary format using zeros and ones.,TRUE,TRUE,95
A random-access memory (RAM) is a form of computer data storage.,TRUE,TRUE,92
La prehistoria termina con la invención de los sistemas de escritura.,TRUE,INSUFFICIENT INFORMATION,92
The Moon is the only natural satellite of the Earth.,TRUE,TRUE,92
Jupiter is the largest planet in our Solar System.,TRUE,TRUE,95
La bioquímica estudia los procesos químicos en los organismos vivos.,TRUE,INSUFFICIENT INFORMATION,95
Software refers to a collection of data or computer instructions.,TRUE,TRUE,95
Ancient Greece is considered the cradle of Western civilization.,TRUE,TRUE,80
Los semiconductores tienen una conductividad entre los aislantes y los conductores.,TRUE,INSUFFICIENT INFORMATION,95
L'eau est composée de deux atomes d'hydrogène et un d'oxygène.,TRUE,INSUFFICIENT INFORMATION,95
Stars are celestial bodies made of plasma held together by gravity.,TRUE,TRUE,95
